centroideY;centroideX;nome
-16.785452143421843;-49.45388876752092;Abadia de Goiás - GO
-18.353510698146685;-47.45772525711842;Abadia dos Dourados - MG
-16.1868413071116;-48.71357706249991;Abadiânia - GO
-19.103725002668092;-45.35976279546411;Abaeté - MG
-1.7303219744135028;-48.883008229133694;Abaetetuba - PA
-7.360217947796173;-39.037462817745364;Abaiara - CE
-13.287209330118591;-41.73143682950648;Abaíra - BA
-8.832090384576304;-39.331255125758425;Abaré - BA
-23.307293648158204;-50.309284888882075;Abatiá - PR
-27.583948074359007;-51.05580676836355;Abdon Batista - SC
-26.562876409450965;-52.25599068708249;Abelardo Luz - SC
-4.957344193513525;-48.424634090445586;Abel Figueiredo - PA
-20.27336588295332;-42.4431373629494;Abre Campo - MG
-7.879351422018279;-35.01905426418056;Abreu e Lima - PE
-9.480437569646003;-49.30983532951452;Abreulândia - TO
-20.400623241673955;-43.10153393174167;Acaiaca - MG
-4.78584782886182;-47.33233989182577;Açailândia - MA
-11.640411586144134;-38.01998169674377;Acajutiba - BA
-2.035516502313685;-48.41144606282451;Acará - PA
-4.222430448519139;-38.66299085557282;Acarapé - CE
-2.968193649794957;-40.08908440291849;Acaraú - CE
-6.40940932367186;-36.64989151092407;Acari - RN
-8.278487941020703;-40.96571390217782;Acauã - PI
-31.690936615982498;-54.13868685040374;Aceguá - RS
-6.122394104693647;-39.49279438455296;Acopiara - CE
-15.177697227859172;-56.31866557575308;Acorizal - MT
-9.92898367271434;-66.93267120416769;Acrelândia - AC
-17.452020619704363;-50.32600476714489;Acreúna - GO
-5.521479494382021;-37.0099201760158;Açu - RN
-19.052909369149567;-42.450691578001795;Açucena - MG
-21.576794554596972;-51.056659986729635;Adamantina - SP
-16.3691897105972;-50.184724411113685;Adelândia - GO
-21.28801027590582;-49.65299392619856;Adolfo - SP
-24.78344181383155;-48.821094304271234;Adrianópolis - PR
-10.5565821193037;-38.0389972006712;Adustina - BA
-7.737275573078309;-37.61990279414984;Afogados da Ingazeira - PE
-5.47145750908323;-36.59998392449599;Afonso Bezerra - RN
-20.08884581476637;-41.12833315246441;Afonso Cláudio - ES
-4.214759782198411;-43.29730912150776;Afonso Cunha - MA
-8.619099081774232;-41.00556301181638;Afrânio - PE
-0.2638388415328597;-50.727626725460745;Afuá - PA
-8.457251145505728;-35.94534916389661;Agrestina - PE
-5.76832227120311;-42.68222206322423;Agricolândia - PI
-27.45463062748287;-49.82465953529775;Agrolândia - SC
-27.323778497153437;-49.72310748750966;Agronômica - SC
-6.7726802836461015;-50.46068581518438;Água Azul do Norte - PA
-13.977012919080488;-52.4999156826206;Água Boa - MT
-18.027564132416757;-42.27561004945949;Água Boa - MG
-9.273210360408106;-37.901788172348205;Água Branca - AL
-7.4725637813453165;-37.66747976670996;Água Branca - PB
-5.913938099325124;-42.627975868887326;Água Branca - PI
-19.782216837899405;-52.99097480291808;Água Clara - MS
-20.004954226232186;-48.0841431115452;Água Comprida - MG
-26.765697642847535;-51.612764857417645;Água Doce - SC
-2.947105826380995;-42.16644512842886;Água Doce do Maranhão - MA
-18.518572457238065;-40.99588956591741;Água Doce do Norte - ES
-11.828022130170174;-38.705232962097796;Água Fria - BA
-14.906428119042179;-47.79542176995477;Água Fria de Goiás - GO
-22.049740100206023;-47.03995863088502;Aguaí - SP
-18.078031675652625;-48.79156221205139;Água Limpa - GO
-20.97492778852162;-45.42282833834198;Aguanil - MG
-6.208693251887891;-38.30856998678648;Água Nova - RN
-8.730537985025538;-35.4785578032258;Água Preta - PE
-28.214474208599952;-52.05101008040477;Água Santa - RS
-9.087264413510397;-37.038512271203736;Águas Belas - PE
-21.91323423772498;-46.691896957246755;Águas da Prata - SP
-27.05301326414758;-52.95687473517768;Águas de Chapecó - SC
-22.474391910815445;-46.6034221780415;Águas de Lindóia - SP
-22.858512608514808;-49.26086667444037;Águas de Santa Bárbara - SP
-22.60118679713788;-47.87618289044913;Águas de São Pedro - SP
-17.04195772417015;-40.97415341150893;Águas Formosas - MG
-26.851570000808337;-52.85333059256805;Águas Frias - SC
-15.75548737695872;-48.28660014810417;Águas Lindas de Goiás - GO
-27.731043442353624;-48.92813931695761;Águas Mornas - SC
-15.684142988475084;-41.52158896673743;Águas Vermelhas - MG
-29.6083102522577;-53.22657243720633;Agudo - RS
-22.571411890588152;-49.10874537985068;Agudos - SP
-26.027845994307338;-49.3112927277951;Agudos do Sul - PR
-18.971123665401574;-40.74935527507141;Águia Branca - ES
-7.073237422624587;-38.21334573791948;Aguiar - PB
-6.487839069401519;-47.513221507167195;Aguiarnópolis - TO
-19.625552267789864;-41.21401072540039;Aimorés - MG
-14.094602335790839;-39.89111201872049;Aiquara - BA
-6.605120944845281;-40.29879249748395;Aiuaba - CE
-21.955027725701047;-44.648101767888356;Aiuruoca - MG
-28.210279416171645;-53.73731198595515;Ajuricaba - RS
-22.18734156071366;-44.66143157039808;Alagoa - MG
-7.05967693794648;-35.60413752600398;Alagoa Grande - PB
-7.061873970459101;-35.76269592110853;Alagoa Nova - PB
-8.495963427968725;-36.75682241990005;Alagoinha - PE
-6.953721938718194;-35.520493582163716;Alagoinha - PB
-6.949035194458319;-40.91183882109334;Alagoinha do Piauí - PI
-12.101762883346183;-38.39474613391546;Alagoinhas - BA
-23.548599263627683;-47.86910267183098;Alambari - SP
-22.198483172972935;-46.613262813195234;Albertina - MG
-2.3948777383234687;-44.53162740845534;Alcântara - MA
-3.5927925515443295;-40.544787256310165;Alcântaras - CE
-7.688753947613426;-36.04796332439213;Alcantil - PB
-18.209172680177943;-53.74932634871314;Alcinópolis - MS
-17.473563905484365;-39.40507133171487;Alcobaça - BA
-4.502816145813982;-43.383364917399845;Aldeias Altas - MA
-27.65231928907969;-54.78297320597461;Alecrim - RS
-20.719865290459214;-41.51246861428004;Alegre - ES
-29.764090611335448;-55.83546204380653;Alegrete - RS
-7.195726441589425;-40.802372901451086;Alegrete do Piauí - PI
-27.814109935789503;-54.05604538143572;Alegria - RS
-21.827090555577684;-42.74706116561009;Além Paraíba - MG
-0.5362327348300067;-55.06986534244361;Alenquer - PA
-6.3644300547665615;-37.98925444371822;Alexandria - RN
-16.089082888028567;-48.482316257680196;Alexânia - GO
-21.389681997053184;-45.966621605081166;Alfenas - MG
-20.564334697998788;-40.826946150590594;Alfredo Chaves - ES
-21.93480838256257;-51.39518345331061;Alfredo Marcondes - SP
